paper_id|title|link|keywords|abstract
event-17858|Certified Robustness Against Natural Language Attacks by Causal Intervention|https://icml.cc/virtual/2022/spotlight/17858||
event-17114|Multi-Task Learning as a Bargaining Game|https://icml.cc/virtual/2022/spotlight/17114||
event-16224|Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling|https://icml.cc/virtual/2022/spotlight/16224||
event-15974|Differentially Private Approximate Quantiles|https://icml.cc/virtual/2022/spotlight/15974||
event-15960|Structural Entropy Guided Graph Hierarchical Pooling|https://icml.cc/virtual/2022/spotlight/15960||
event-17646|Dynamic Regret of Online Markov Decision Processes|https://icml.cc/virtual/2022/spotlight/17646||
event-17598|A3 T: Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing|https://icml.cc/virtual/2022/spotlight/17598||
event-17014|On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games|https://icml.cc/virtual/2022/spotlight/17014||
event-17386|Frustratingly Easy Transferability Estimation|https://icml.cc/virtual/2022/spotlight/17386||
event-15996|Self-Supervised Representation Learning via Latent Graph Prediction|https://icml.cc/virtual/2022/spotlight/15996||
event-16920|ButterflyFlow: Building Invertible Layers with Butterfly Matrices|https://icml.cc/virtual/2022/spotlight/16920||
event-15988|Fairness Interventions as (Dis)Incentives for Strategic Manipulation|https://icml.cc/virtual/2022/spotlight/15988||
event-16008|DSTAGNN: Dynamic Spatial-Temporal Aware Graph Neural Network for Traffic Flow Forecasting|https://icml.cc/virtual/2022/spotlight/16008||
event-17614|On the Learning of Non-Autoregressive Transformers|https://icml.cc/virtual/2022/spotlight/17614||
event-17076|Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning|https://icml.cc/virtual/2022/spotlight/17076||
event-16288|Controlling Conditional Language Models without Catastrophic Forgetting|https://icml.cc/virtual/2022/spotlight/16288||
event-16004|Robust Models Are More Interpretable Because Attributions Look Normal|https://icml.cc/virtual/2022/spotlight/16004||
event-17524|Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling|https://icml.cc/virtual/2022/spotlight/17524||
event-17202|Provable Reinforcement Learning with a Short-Term Memory|https://icml.cc/virtual/2022/spotlight/17202||
event-16272|Sequential Covariate Shift Detection Using Classifier Two-Sample Tests|https://icml.cc/virtual/2022/spotlight/16272||
event-17526|A Difference Standardization Method for Mutual Transfer Learning|https://icml.cc/virtual/2022/spotlight/17526||
event-16042|Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets|https://icml.cc/virtual/2022/spotlight/16042||
event-16340|GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models|https://icml.cc/virtual/2022/spotlight/16340||
event-17722|Latent Diffusion Energy-Based Model for Interpretable Text Modelling|https://icml.cc/virtual/2022/spotlight/17722||
event-16550|Fast Convex Optimization for Two-Layer ReLU Networks: Equivalent Model Classes and Cone Decompositions|https://icml.cc/virtual/2022/spotlight/16550||
event-16120|Omni-Granular Ego-Semantic Propagation for Self-Supervised Graph Representation Learning|https://icml.cc/virtual/2022/spotlight/16120||
event-17424|Smoothed Adversarial Linear Contextual Bandits with Knapsacks|https://icml.cc/virtual/2022/spotlight/17424||
event-16104|A Joint Exponential Mechanism For Differentially Private Top- k|https://icml.cc/virtual/2022/spotlight/16104||
event-17316|Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer|https://icml.cc/virtual/2022/spotlight/17316||
event-16380|Structure-preserving GANs|https://icml.cc/virtual/2022/spotlight/16380||
event-16350|ShiftAddNAS: Hardware-Inspired Search for More Accurate and Efficient Neural Networks|https://icml.cc/virtual/2022/spotlight/16350||
event-17778|UNIREX: A Unified Learning Framework for Language Model Rationale Extraction|https://icml.cc/virtual/2022/spotlight/17778||
event-17576|Improving Task-free Continual Learning by Distributionally Robust Memory Evolution|https://icml.cc/virtual/2022/spotlight/17576||
event-16514|Why the Rich Get Richer? On the Balancedness of Random Partition Models|https://icml.cc/virtual/2022/spotlight/16514||
event-17784|Black-Box Tuning for Language-Model-as-a-Service|https://icml.cc/virtual/2022/spotlight/17784||
event-16176|Transfer Learning In Differential Privacy's Hybrid-Model|https://icml.cc/virtual/2022/spotlight/16176||
event-16564|NysADMM: faster composite convex optimization via low-rank approximation|https://icml.cc/virtual/2022/spotlight/16564||
event-17628|A Multi-objective / Multi-task Learning Framework Induced by Pareto Stationarity|https://icml.cc/virtual/2022/spotlight/17628||
event-17442|Mirror Learning: A Unifying Framework of Policy Optimisation|https://icml.cc/virtual/2022/spotlight/17442||
event-17906|Simultaneously Learning Stochastic and Adversarial Bandits with General Graph Feedback|https://icml.cc/virtual/2022/spotlight/17906||
event-16672|DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale|https://icml.cc/virtual/2022/spotlight/16672||
event-17674|A Completely Tuning-Free and Robust Approach to Sparse Precision Matrix Estimation|https://icml.cc/virtual/2022/spotlight/17674||
event-16138|Analyzing and Mitigating Interference in Neural Architecture Search|https://icml.cc/virtual/2022/spotlight/16138||
event-17804|Provably Adversarially Robust Nearest Prototype Classifiers|https://icml.cc/virtual/2022/spotlight/17804||
event-18052|Markov Chain Monte Carlo for Continuous-Time Switching Dynamical Systems|https://icml.cc/virtual/2022/spotlight/18052||
event-16752|Estimating the Optimal Covariance with Imperfect Mean in Diffusion Probabilistic Models|https://icml.cc/virtual/2022/spotlight/16752||
event-17556|Thompson Sampling for (Combinatorial) Pure Exploration|https://icml.cc/virtual/2022/spotlight/17556||
event-17666|Certifying Out-of-Domain Generalization for Blackbox Functions|https://icml.cc/virtual/2022/spotlight/17666||
event-17748|Sparse Invariant Risk Minimization|https://icml.cc/virtual/2022/spotlight/17748||
event-16854|FedNew: A Communication-Efficient and Privacy-Preserving Newton-Type Method for Federated Learning|https://icml.cc/virtual/2022/spotlight/16854||
event-16676|Reverse Engineering ℓ p attacks: A block-sparse optimization approach with recovery guarantees|https://icml.cc/virtual/2022/spotlight/16676||
event-16260|Robust Kernel Density Estimation with Median-of-Means principle|https://icml.cc/virtual/2022/spotlight/16260||
event-17746|Intriguing Properties of Input-Dependent Randomized Smoothing|https://icml.cc/virtual/2022/spotlight/17746||
event-17560|Revisiting Online Submodular Minimization: Gap-Dependent Regret Bounds, Best of Both Worlds and Adversarial Robustness|https://icml.cc/virtual/2022/spotlight/17560||
event-17172|Unraveling Attention via Convex Duality: Analysis and Interpretations of Vision Transformers|https://icml.cc/virtual/2022/spotlight/17172||
event-18124|Calibrated Learning to Defer with One-vs-All Classifiers|https://icml.cc/virtual/2022/spotlight/18124||
event-17206|Pairwise Conditional Gradients without Swap Steps and Sparser Kernel Herding|https://icml.cc/virtual/2022/spotlight/17206||
event-17824|Rotting Infinitely Many-Armed Bandits|https://icml.cc/virtual/2022/spotlight/17824||
event-17882|Co-training Improves Prompt-based Learning for Large Language Models|https://icml.cc/virtual/2022/spotlight/17882||
event-17668|Learning Infinite-horizon Average-reward Markov Decision Process with Constraints|https://icml.cc/virtual/2022/spotlight/17668||
event-16276|Plug & Play Attacks: Towards Robust and Flexible Model Inversion Attacks|https://icml.cc/virtual/2022/spotlight/16276||
event-17958|Directed Acyclic Transformer for Non-Autoregressive Machine Translation|https://icml.cc/virtual/2022/spotlight/17958||
event-16702|DRAGONN: Distributed Randomized Approximate Gradients of Neural Networks|https://icml.cc/virtual/2022/spotlight/16702||
event-16996|Forward Operator Estimation in Generative Models with Kernel Transfer Operators|https://icml.cc/virtual/2022/spotlight/16996||
event-17770|A Closer Look at Smoothness in Domain Adversarial Training|https://icml.cc/virtual/2022/spotlight/17770||
event-18114|A State-Distribution Matching Approach to Non-Episodic Reinforcement Learning|https://icml.cc/virtual/2022/spotlight/18114||
event-17994|StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models|https://icml.cc/virtual/2022/spotlight/17994||
event-16768|A deep convolutional neural network that is invariant to time rescaling|https://icml.cc/virtual/2022/spotlight/16768||
event-18042|Evaluating the Adversarial Robustness of Adaptive Test-time Defenses|https://icml.cc/virtual/2022/spotlight/18042||
event-18146|Langevin Monte Carlo for Contextual Bandits|https://icml.cc/virtual/2022/spotlight/18146||
event-16944|DNA: Domain Generalization with Diversified Neural Averaging|https://icml.cc/virtual/2022/spotlight/16944||
event-17780|Balancing Discriminability and Transferability for Source-Free Domain Adaptation|https://icml.cc/virtual/2022/spotlight/17780||
event-17140|Conditional GANs with Auxiliary Discriminative Classifier|https://icml.cc/virtual/2022/spotlight/17140||
event-16324|FriendlyCore: Practical Differentially Private Aggregation|https://icml.cc/virtual/2022/spotlight/16324||
event-17198|Unified Fourier-based Kernel and Nonlinearity Design for Equivariant Networks on Homogeneous Spaces|https://icml.cc/virtual/2022/spotlight/17198||
event-17162|Improved StyleGAN-v2 based Inversion for Out-of-Distribution Images|https://icml.cc/virtual/2022/spotlight/17162||
event-17060|LyaNet: A Lyapunov Framework for Training Neural ODEs|https://icml.cc/virtual/2022/spotlight/17060||
event-18078|On the Generalization Analysis of Adversarial Learning|https://icml.cc/virtual/2022/spotlight/18078||
event-18154|Prompting Decision Transformer for Few-Shot Policy Generalization|https://icml.cc/virtual/2022/spotlight/18154||
event-18024|Unsupervised Detection of Contextualized Embedding Bias with Application to Ideology|https://icml.cc/virtual/2022/spotlight/18024||
event-16526|ViT-NeT: Interpretable Vision Transformers with Neural Tree Decoder|https://icml.cc/virtual/2022/spotlight/16526||
event-17868|Model Agnostic Sample Reweighting for Out-of-Distribution Learning|https://icml.cc/virtual/2022/spotlight/17868||
event-17864|Equivalence Analysis between Counterfactual Regret Minimization and Online Mirror Descent|https://icml.cc/virtual/2022/spotlight/17864||
event-17506|Only tails matter: Average-Case Universality and Robustness in the Convex Regime|https://icml.cc/virtual/2022/spotlight/17506||
event-18132|Generative Cooperative Networks for Natural Language Generation|https://icml.cc/virtual/2022/spotlight/18132||
event-17370|Transfer and Marginalize: Explaining Away Label Noise with Privileged Information|https://icml.cc/virtual/2022/spotlight/17370||
event-17200|DynaMixer: A Vision MLP Architecture with Dynamic Mixing|https://icml.cc/virtual/2022/spotlight/17200||
event-18338|Contrastive UCB: Provably Efficient Contrastive Self-Supervised Learning in Online Reinforcement Learning|https://icml.cc/virtual/2022/spotlight/18338||
event-16788|Fishing for User Data in Large-Batch Federated Learning via Gradient Magnification|https://icml.cc/virtual/2022/spotlight/16788||
event-17940|Batch Greenkhorn Algorithm for Entropic-Regularized Multimarginal Optimal Transport: Linear Rate of Convergence and Iteration Complexity|https://icml.cc/virtual/2022/spotlight/17940||
event-18008|Zero-shot AutoML with Pretrained Models|https://icml.cc/virtual/2022/spotlight/18008||
event-17244|Matching Normalizing Flows and Probability Paths on Manifolds|https://icml.cc/virtual/2022/spotlight/17244||
event-18178|Demystifying the Adversarial Robustness of Random Transformation Defenses|https://icml.cc/virtual/2022/spotlight/18178||
event-17294|Consistent Polyhedral Surrogates for Top-k Classification and Variants|https://icml.cc/virtual/2022/spotlight/17294||
event-18348|Channel Importance Matters in Few-Shot Image Classification|https://icml.cc/virtual/2022/spotlight/18348||
event-18142|What Language Model Architecture and Pretraining Objective Works Best for Zero-Shot Generalization?|https://icml.cc/virtual/2022/spotlight/18142||
